id,score_date,max_seats,agent_utilization,is_provisioned_any_channel_M_before,max_seats_M_before,agent_utilization_increase,agent_utilization_decrease,seat_utilization,seat_utilization_M_before,seat_utilization_increase,seat_utilization_decrease
JMAN_10592358,2023-03-10,50.0,0.0625,28.0,50.0,0.0,1.0,0.32,0.56,0.0,1.0
JMAN_9034089,2023-03-10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_18354320,2023-01-20,1.0,0.0,8.789672861828274,1.0,0.0,0.0,0.0,0.0,0.0,0.0
JMAN_9747161,2023-03-24,5.0,0.0,4.0,5.0,0.0,1.0,0.8,0.8,0.0,0.0
JMAN_9034647,2023-03-31,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9702646,2023-02-24,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9001490,2023-03-03,5.0,0.0,5.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_10535735,2023-02-03,15.0,0.545454546,13.0,15.0,0.0,1.0,0.733333333,0.866666667,0.0,1.0
JMAN_2454712,2023-02-03,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2453288,2023-02-17,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_18410392,2023-01-27,1.0,0.0,8.789672861828274,1.0,0.0,0.0,0.0,0.0,0.0,0.0
JMAN_2319823,2023-02-10,4.0,0.25,4.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9129318,2023-01-06,74.0,0.357142857,67.0,74.0,0.0,1.0,0.945945946,0.905405405,1.0,0.0
JMAN_2481898,2023-03-17,4.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9004606,2023-01-06,8.0,0.0,8.0,8.0,0.0,0.0,0.875,1.0,0.0,1.0
JMAN_2475394,2023-02-24,7.0,0.166666667,6.0,7.0,0.0,1.0,0.857142857,0.857142857,0.0,0.0
JMAN_15078349,2023-02-24,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2481325,2023-03-10,5.0,0.0,5.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2396226,2023-02-24,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9021651,2023-03-10,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9022776,2023-03-24,2.0,0.5,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9242624,2023-02-03,13.0,0.0,10.0,13.0,0.0,1.0,0.769230769,0.769230769,0.0,0.0
JMAN_2474033,2023-03-10,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9026440,2023-02-03,3.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9056184,2023-02-10,6.0,0.166666667,6.0,7.0,1.0,0.0,1.0,0.857142857,1.0,0.0
JMAN_2482561,2023-02-10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2456281,2023-02-17,10.0,0.125,8.0,10.0,1.0,0.0,0.8,0.8,0.0,0.0
JMAN_11249333,2023-03-24,2.0,0.5,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9021732,2023-01-13,2.0,0.0,1.0,2.0,0.0,1.0,0.5,0.5,0.0,0.0
JMAN_9059722,2023-02-24,33.0,0.3125,33.0,33.0,0.0,1.0,0.96969697,1.0,0.0,1.0
JMAN_2433825,2023-02-24,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_18127929,2023-02-10,3.0,0.0,8.789672861828274,3.0,0.0,0.0,0.0,0.0,0.0,0.0
JMAN_18410388,2023-03-17,4.0,0.0,8.789672861828274,4.0,0.0,0.0,0.0,0.0,0.0,0.0
JMAN_2462717,2023-01-13,2.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2453359,2023-02-10,5.0,0.4,5.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_10575478,2023-02-17,24.0,0.083333333,24.0,24.0,0.0,1.0,1.0,1.0,0.0,0.0
