id,score_date,current_arr,future_arr,arr_change,fx_impact,seat_change_arr,product_change_arr
JMAN_2457731,2023-03-31,127.44,130.44,0.0,3.0,0.0,0.0
JMAN_2450544,2023-02-24,912.0,912.0,0.0,0.0,0.0,0.0
JMAN_9021157,2023-03-31,13015.2,19486.44,5925.36,545.88,0.0,0.0
JMAN_2447191,2023-02-03,60.0,60.0,0.0,0.0,0.0,0.0
JMAN_1286382,2023-02-10,68400.0,89352.0,20952.0,0.0,-7200.0,0.0
JMAN_2478470,2023-02-10,1200.0,1200.0,0.0,0.0,0.0,0.0
JMAN_9036591,2023-01-20,23156.04,23427.0,0.0,270.96,0.0,0.0
JMAN_2331419,2023-02-03,23572.44,30781.08,6637.44,571.2,0.0,0.0
JMAN_2475429,2023-02-10,684.0,300.0,-384.0,0.0,-456.0,0.0
JMAN_2475334,2023-03-31,180.0,180.0,0.0,0.0,0.0,0.0
JMAN_2479512,2023-03-17,936.0,10591.926642995482,-936.0,0.0,0.0,-1116.0
JMAN_9032708,2023-02-03,756.0,816.0,60.0,0.0,60.0,0.0
JMAN_2461834,2023-02-24,2304.0,2304.0,0.0,0.0,0.0,0.0
JMAN_2445795,2023-03-31,240.0,240.0,0.0,0.0,0.0,0.0
JMAN_2469134,2023-03-31,39600.0,39600.0,0.0,0.0,0.0,0.0
JMAN_2447281,2023-02-17,2478.6,2916.0,437.4,0.0,0.0,0.0
JMAN_11633303,2023-01-13,15168.0,15168.0,0.0,0.0,0.0,0.0
JMAN_2445669,2023-03-03,5414.28,5957.64,326.52,216.84,326.5129412,0.0
JMAN_18362858,2023-03-03,228.0,228.0,0.0,0.0,0.0,0.0
JMAN_2375196,2023-01-27,871.44,909.72,0.0,38.28,0.0,0.0
JMAN_9892189,2023-03-24,228.0,10591.926642995482,-228.0,0.0,0.0,-228.0
JMAN_9031450,2023-02-03,1140.0,1380.0,240.0,0.0,0.0,0.0
JMAN_2483334,2023-03-10,10512.0,10512.0,0.0,0.0,0.0,0.0
JMAN_2475019,2023-01-20,8532.0,8532.0,0.0,0.0,0.0,0.0
JMAN_9471063,2023-03-24,4500.0,3576.0,-924.0,0.0,0.0,3000.0
JMAN_2478834,2023-01-20,2251.32,2277.6,0.0,26.28,0.0,0.0
JMAN_16385554,2023-01-13,4200.0,4200.0,0.0,0.0,0.0,0.0
JMAN_9005021,2023-02-03,720.0,720.0,0.0,0.0,0.0,0.0
JMAN_2476115,2023-02-17,8865.84,9258.12,0.0,392.28,0.0,0.0
JMAN_9051235,2023-02-17,7128.0,7128.0,0.0,0.0,0.0,0.0
JMAN_9391855,2023-02-10,1773.12,1851.6,0.0,336.72,0.0,0.0
JMAN_9018166,2023-01-13,756.0,864.0,108.0,0.0,108.0,0.0
JMAN_9897409,2023-03-31,10633.08,4810.68,-6274.44,452.04,0.0,-6274.44
JMAN_18410412,2023-02-24,456.0,0.0,-456.0,0.0,0.0,-456.0
JMAN_2461712,2023-03-10,28728.0,28728.0,0.0,0.0,0.0,0.0
JMAN_2472640,2023-03-24,3050.52,3197.04,0.0,146.52,0.0,0.0
JMAN_2469134,2023-01-27,39600.0,39600.0,0.0,0.0,0.0,0.0
JMAN_2464850,2023-02-10,2216.52,1959.72,-348.72,91.92,0.0,0.0
JMAN_2442325,2023-01-13,115.8,10591.926642995482,-116.88,1.08,0.0,-116.88
JMAN_9008468,2023-01-20,617.52,624.72,0.0,7.2,0.0,0.0
JMAN_109835,2023-01-13,47255.04,50400.0,3144.96,0.0,0.0,0.0
JMAN_9075221,2023-01-27,98880.0,95040.0,-3840.0,0.0,0.0,-3840.0
JMAN_18410830,2023-01-13,2100.0,2100.0,0.0,0.0,0.0,0.0
JMAN_9022859,2023-01-20,228.0,228.0,0.0,0.0,0.0,0.0
JMAN_9031253,2023-03-31,10740.0,10740.0,0.0,0.0,0.0,0.0
JMAN_9003316,2023-03-24,4140.0,4980.0,840.0,0.0,0.0,0.0
JMAN_2468132,2023-02-24,600.0,600.0,0.0,0.0,0.0,0.0
JMAN_9036732,2023-02-24,20064.0,27175.08,7111.08,0.0,4820.923636,0.0
JMAN_2482605,2023-02-03,300.0,3504.0,3204.0,0.0,300.0,1848.0
JMAN_9059722,2023-01-13,59400.0,59400.0,0.0,0.0,0.0,0.0
JMAN_2351429,2023-02-10,64.92,66.24,0.0,1.32,0.0,0.0
JMAN_18127929,2023-02-24,684.0,552.0,-132.0,0.0,-228.0,0.0
JMAN_2462717,2023-02-03,2952.0,2952.0,0.0,0.0,0.0,0.0
JMAN_9034076,2023-02-24,177.36,185.16,0.0,7.8,0.0,0.0
JMAN_9034076,2023-03-10,174.36,182.64,0.0,8.28,0.0,0.0
JMAN_9004072,2023-02-10,133632.0,63000.0,-70632.0,0.0,-52200.0,-18432.0
JMAN_18390619,2023-03-17,348.0,348.0,0.0,0.0,0.0,0.0
JMAN_2453359,2023-03-10,3480.0,3480.0,0.0,0.0,0.0,0.0
JMAN_10148809,2023-02-24,18000.0,18000.0,0.0,0.0,0.0,0.0
JMAN_9029612,2023-01-13,228.0,10591.926642995482,-228.0,0.0,0.0,-228.0
JMAN_10715453,2023-01-13,708.0,708.0,0.0,0.0,0.0,0.0
JMAN_2449949,2023-01-20,300.0,300.0,0.0,0.0,0.0,0.0
JMAN_16164717,2023-02-03,168.0,168.0,0.0,0.0,0.0,0.0
JMAN_9019742,2023-02-17,11437.08,7992.72,-3881.4,437.04,-6003.84,0.0
JMAN_16090733,2023-03-31,1140.0,1380.0,240.0,0.0,0.0,0.0
